Experiment: 230728_LRDYAceGRDarwin_expt vial 12, Fri Jul 28 15:42:16 2023
0,0
9.5072,3.98
9.5574,3.84
9.6074,2.47
10.6352,3.94
11.6017,4.03
12.3072,4.01
12.9238,4.03
13.4628,4.16
13.9461,3.93
13.9963,1.51
14.6461,3.98
15.0572,3.97
15.6461,3.99
15.7016,1.42
16.2905,4.04
16.3406,1.81
16.9572,3.99
17.0073,1.67
17.6017,3.97
18.6021,4.11
19.3909,3.99
20.1075,4.18
20.9243,3.94
21.7076,4.21
22.5908,3.95
23.4798,3.94
24.2631,4.14
25.1687,4.02
26.0352,3.99
26.8353,3.95
27.7241,4.0
28.4685,3.95
29.3352,3.98
30.202,4.03
31.0242,4.0
31.7963,3.93
32.5853,3.93
33.3631,3.97
34.1518,4.05
34.974,3.98
35.6131,4.15
36.4408,3.97
37.2851,3.99
38.0629,4.03
38.8184,4.03
39.6685,3.94
40.4074,3.96
41.2017,3.99
41.9073,4.14
42.8239,3.95
43.6129,4.03
44.485,3.95
45.1684,3.93
46.0517,4.1
46.7684,4.21
47.5628,3.94
48.4017,3.93
49.1573,4.01
49.9573,3.97
50.7739,3.94
51.4906,3.95
52.2463,3.94
53.0906,3.97
53.8516,4.02
54.6627,3.94
55.4738,3.97
56.2739,3.97
57.0294,4.06
57.8295,4.11
58.6406,3.99
59.4406,4.06
60.246,3.96
61.0294,4.0
61.8071,3.98
62.5794,3.97
63.3294,3.96
64.1238,3.99
64.8349,3.94
65.5348,4.03
66.1071,4.01
66.907,4.33
67.435,3.96
68.2626,3.96
68.9959,3.94
69.7625,4.38
