Experiment: 230728_LRDYAceGRDarwin_expt vial 14, Fri Jul 28 15:42:16 2023
0.0015,0.0
0.007,-0.0003155240231138001
0.0126,-3.506285889393057e-05
0.0183,-0.00010518509979473567
0.0237,-0.0004557268232906475
0.0294,-0.00017530270630128353
0.0348,-0.0002804704303903671
0.0405,-0.0008411891612307154
0.0459,-0.0002103597722022399
0.0516,-0.0003155240231138001
0.057,-0.0003505764585475246
0.0627,-0.0003155240231138001
0.0681,-0.0003155240231138001
0.0738,-0.0004907746317455719
0.0793,-0.0003505764585475246
0.0847,-0.0004907746317455719
0.0905,-0.0008762242634619
0.0959,-0.0002454156801592333
0.1016,-0.0004206778584180393
0.107,-0.0004907746317455719
0.1126,-0.0003155240231138001
0.1183,-0.000946291006725053
0.1238,-0.0001402444822382054
0.1292,-0.0004907746317455719
0.1349,-0.0004907746317455719
0.1405,-0.0005258212840004162
0.146,-0.0004907746317455719
0.1516,-0.0004206778584180393
0.1571,-0.000665996335377228
0.1627,-0.0002804704303903671
0.1682,-0.0003155240231138001
0.1739,-0.0005608667802732836
0.1793,-0.0003505764585475246
0.185,-0.0004206778584180393
0.1904,-0.00017530270630128353
0.196,-0.0003505764585475246
0.2015,-0.0003155240231138001
0.2072,-0.0002454156801592333
0.2127,-0.0004557268232906475
0.2182,-0.0002804704303903671
0.2239,-0.0003155240231138001
0.2293,-0.0008411891612307154
0.235,-0.0004206778584180393
0.2404,-0.0007711154944814447
0.2461,-0.0003155240231138001
0.2515,-0.0003155240231138001
0.2572,-0.0001402444822382054
0.2626,-0.0004206778584180393
0.2681,-0.00010518509979473567
0.2737,-0.0002454156801592333
0.2794,-0.0007711154944814447
0.2848,-0.001471644646471315
0.2905,-0.0002454156801592333
0.2959,-0.0005959111207818335
0.3015,-0.0002103597722022399
0.307,-0.0004907746317455719
0.3126,-0.0004907746317455719
0.3182,-0.0003856277369095884
0.3239,-0.0007010372098994466
0.3293,-0.0003505764585475246
0.335,-0.0005959111207818335
0.3404,-0.0004907746317455719
0.3461,-0.0004907746317455719
0.3515,-0.0004907746317455719
0.3569,-0.0005959111207818335
0.3626,-0.0005959111207818335
0.3683,-0.0003505764585475246
0.3737,-0.0010864106545415697
0.3794,-0.0005258212840004162
0.3848,-0.0004557268232906475
0.3904,-0.0010513824718827447
0.3961,-0.0002454156801592333
0.4015,-0.0005959111207818335
0.4072,-0.0003155240231138001
0.4126,-0.0005608667802732836
0.4183,-0.0005959111207818335
0.4236,-0.0002103597722022399
0.4294,-0.0008762242634619
0.435,-0.0005959111207818335
0.4404,-0.0003856277369095884
0.4461,-0.000665996335377228
0.4515,-0.0005258212840004162
0.4572,-0.0007360769295283731
0.4626,-0.0005959111207818335
0.4683,-0.0008411891612307154
0.4738,-0.0005258212840004162
0.4794,-0.0007010372098994466
0.4848,-0.0009112582118875334
0.4905,-0.0006309543057439471
0.4959,-0.0009112582118875334
0.5017,-0.0008411891612307154
0.507,-0.0007360769295283731
0.5127,-0.0004557268232906475
0.5181,-0.0006309543057439471
0.5238,-0.0005258212840004162
0.5292,-0.0001402444822382054
0.5349,-0.0005608667802732836
0.5403,-0.0007711154944814447
0.546,-0.0003856277369095884
0.5517,-0.0008411891612307154
0.5571,-0.0008061529049763205
0.5627,-0.0007711154944814447
0.5681,-0.0007711154944814447
0.5739,-0.0003856277369095884
0.5792,-0.0008411891612307154
0.5849,-0.0004907746317455719
0.5904,-0.0008061529049763205
0.596,-0.0010864106545415697
0.6017,-0.0004907746317455719
0.607,-0.0005959111207818335
0.6128,-0.0007711154944814447
0.6182,-0.0007360769295283731
0.6237,-0.0007360769295283731
0.6292,-0.0010864106545415697
0.6348,-0.0005959111207818335
0.6405,-0.000665996335377228
0.6459,-0.001016353136505277
0.6515,-0.0009813226481918402
0.657,-0.0009112582118875334
0.6625,-0.0008061529049763205
0.6683,-0.001156463562572152
0.6737,-0.0012615342846587496
0.6793,-0.0010864106545415697
0.685,-0.002031736651758431
0.6904,-0.0011914882883784506
0.696,-0.000946291006725053
0.7017,-0.0018917412046279836
0.7072,-0.001156463562572152
0.7126,-0.0009112582118875334
0.7183,-0.0010864106545415697
0.7236,-0.001016353136505277
0.7293,-0.0012265118623349114
0.7348,-0.0013665946440052368
0.7404,-0.001016353136505277
0.7462,-0.0014016124619691261
0.7515,-0.0009813226481918402
0.7573,-0.001471644646471315
0.7627,-0.001121437684698967
0.7681,-0.0012265118623349114
0.7737,-0.0010513824718827447
0.7794,-0.0009112582118875334
0.7848,-0.0011914882883784506
0.7905,-0.0008762242634619
0.7959,-0.0009813226481918402
0.8016,-0.0011914882883784506
