Experiment: 230728_LRDYAceGRDarwin_expt vial 2, Fri Jul 28 15:42:16 2023
0,0
6.9462,4.02
7.0017,3.24
7.0573,2.31
8.3241,3.95
9.324,4.18
10.2406,3.99
11.3016,3.95
12.4684,4.04
14.1294,4.04
16.185,4.15
17.5794,4.08
18.5186,3.93
19.5021,3.94
20.3076,4.1
21.063,4.27
21.7355,4.01
22.4353,3.93
23.1075,3.98
23.7466,4.1
24.4243,4.01
25.0685,4.12
25.7353,3.99
26.4576,3.95
27.1463,4.11
27.8242,3.94
28.4685,4.12
29.1407,4.02
29.8297,3.95
30.5575,4.08
31.3408,3.96
32.0685,4.22
32.8519,4.0
33.7185,4.29
34.6574,4.16
35.6685,4.32
36.6797,4.04
37.7407,4.11
38.8685,4.03
39.7962,4.02
41.0129,4.15
42.2685,4.06
43.3964,4.27
44.5018,3.95
45.3628,3.98
46.485,3.95
47.4517,4.02
48.3573,3.95
49.7518,4.1
50.4407,4.19
51.5128,4.09
52.5517,3.99
53.2795,4.37
54.3516,3.95
55.1238,4.51
55.8073,4.27
56.9517,4.11
57.6239,3.94
58.2794,3.93
59.1628,4.21
59.946,4.28
60.735,3.96
61.4681,4.14
62.2072,4.05
62.9682,4.02
63.7127,4.26
64.4127,4.03
65.0682,4.16
65.7848,3.93
66.5404,4.04
67.1515,4.1
67.7959,3.98
68.4182,4.0
69.1015,4.01
69.7183,4.13
