Experiment: 230728_LRDYAceGRDarwin_expt vial 10, Fri Jul 28 15:42:16 2023
0,0
10.7795,3.68
10.8351,3.55
11.3128,3.81
12.3406,3.77
13.296,4.03
14.3239,3.7
15.1796,3.8
16.1738,3.79
17.1017,3.77
17.8577,3.9
18.7964,3.75
19.6965,3.89
20.5631,3.7
21.4964,3.92
22.2741,3.69
23.0798,3.74
23.9242,3.93
24.6632,3.71
25.502,3.81
26.2574,3.98
26.9909,3.72
27.702,3.85
28.4964,3.8
29.2519,3.73
29.9129,3.69
30.6854,3.73
31.3796,3.73
32.1131,3.82
32.874,3.79
33.6296,3.95
34.3963,3.86
35.1129,3.77
35.8686,3.74
36.652,3.7
37.3686,3.91
38.2129,3.82
38.8852,3.8
39.5628,3.69
40.3464,3.75
41.0519,3.72
41.7796,3.71
42.4295,4.15
43.1351,3.86
43.8962,3.83
44.6739,3.87
45.3908,3.8
46.135,3.96
46.8018,3.75
47.574,3.74
48.2962,3.84
48.9405,3.77
49.7239,3.71
50.4628,3.76
51.2794,3.76
51.896,3.7
52.5571,3.69
53.2683,3.76
54.0239,3.75
54.685,3.84
55.4461,3.8
56.185,3.8
56.9016,3.77
57.6294,3.71
58.2573,3.89
59.0349,3.95
59.8182,3.83
60.5515,3.75
61.2461,3.82
61.9015,3.81
62.7405,3.69
63.4404,3.82
64.0795,3.74
64.8349,3.81
65.5794,3.77
66.3459,3.7
67.0237,3.91
67.7071,3.75
68.4239,3.7
69.1293,3.73
69.857,3.8
