Experiment: 230728_LRDYAceGRDarwin_expt vial 11, Fri Jul 28 15:42:16 2023
0,0
5.0352,4.25
5.0907,3.49
5.1408,3.39
5.1963,3.38
5.2518,2.22
6.6796,4.38
8.0074,4.25
8.9129,4.26
9.6239,4.24
10.4572,4.24
11.3183,4.22
12.2516,4.47
13.3295,4.26
14.6405,4.43
16.4405,4.26
19.0575,4.35
21.1075,4.41
22.5855,4.24
23.691,4.35
24.8519,4.38
25.802,4.25
26.713,4.3
27.7852,4.24
28.6186,4.5
29.5075,4.23
30.3963,4.63
31.4407,4.54
32.3907,4.22
33.3019,4.27
34.1796,4.33
35.0963,4.3
35.9851,4.34
36.9852,4.22
38.024,4.29
38.9407,4.26
39.9075,4.24
40.8684,4.25
41.7573,4.28
42.9129,4.31
44.0407,4.25
45.2017,4.25
46.3741,4.21
47.6295,4.28
48.9073,4.48
50.3683,4.25
52.035,4.43
53.2739,4.87
54.3851,4.39
55.3796,4.22
56.1684,4.26
57.4238,4.37
58.2294,4.52
59.1849,4.49
59.8849,4.21
60.7738,4.47
61.5406,4.21
62.4237,4.25
64.135,4.41
65.7128,4.44
66.535,4.31
68.7182,4.61
