Experiment: 230728_LRDYAceGRDarwin_expt vial 15, Fri Jul 28 15:42:16 2023
0,0
10.3294,3.69
10.3795,3.91
11.3016,3.8
12.3129,3.93
13.3907,3.89
14.7738,3.78
16.4072,3.75
19.3019,3.83
22.0575,3.77
24.0242,3.7
25.5631,3.78
26.8518,3.72
28.2242,3.9
29.5241,3.83
30.6464,3.76
31.8241,3.88
33.0351,3.69
33.9964,3.72
35.4018,3.78
36.3574,3.77
37.424,3.78
38.4574,3.73
39.3741,3.68
40.3573,3.78
41.4907,3.68
42.3518,3.84
43.0629,3.74
43.9962,3.75
44.7462,3.71
45.5518,3.71
46.2351,3.89
46.9017,3.77
47.5628,3.68
48.213,3.83
48.9073,3.76
49.5794,3.75
50.2241,3.82
50.7572,3.84
51.4794,3.72
52.0851,3.76
52.6684,3.71
53.3294,3.71
53.9017,3.94
54.4406,3.8
55.0683,3.71
55.624,3.73
56.1905,3.77
56.8016,3.76
57.3293,3.73
57.8961,3.88
58.4018,3.68
59.0349,3.7
59.607,3.89
60.2127,4.07
60.7848,3.69
61.3126,3.82
61.9571,3.75
62.7238,4.02
63.485,3.74
64.1127,3.71
64.8682,3.69
65.6182,3.79
66.4404,3.74
67.324,3.8
68.3016,3.8
69.3682,3.8
