Experiment: 230728_LRDYAceGRDarwin_expt vial 1, Fri Jul 28 15:42:16 2023
0,0
7.513,3.69
7.5684,3.54
7.6184,1.32
8.5961,3.78
9.5683,3.71
10.4462,3.68
11.263,3.75
12.0795,3.72
13.0072,3.75
14.0183,3.75
15.2072,3.75
16.5017,3.83
17.7409,3.73
19.0131,3.75
19.9575,3.83
20.7409,3.7
21.4465,3.7
22.2353,3.68
22.8687,3.7
23.552,3.74
24.2407,3.75
24.8352,3.82
25.4574,3.7
26.1076,3.78
26.6298,3.73
27.2853,3.89
27.9464,3.69
28.5185,3.8
29.1185,3.81
29.7242,3.69
30.313,3.82
30.9575,3.81
31.5741,3.72
32.1797,3.78
32.8074,3.69
33.4353,3.74
34.0797,3.82
34.6907,3.72
35.2628,3.7
36.0351,3.88
36.7352,4.01
37.5409,4.03
38.2907,3.86
39.0129,3.92
39.8019,3.78
40.5018,3.69
41.3352,3.73
42.085,3.94
42.9351,3.69
43.6629,3.69
44.4186,3.76
45.1072,3.89
45.9853,3.75
46.6852,3.71
47.5407,3.85
48.3073,3.93
49.085,3.79
49.8128,3.87
50.5572,3.73
51.3573,3.77
52.0461,3.86
52.8405,3.71
53.585,3.69
54.246,3.71
54.974,3.74
55.7182,3.78
56.4405,3.69
57.0961,3.69
57.796,3.74
58.485,3.71
59.1961,3.72
59.835,3.74
60.4849,3.77
61.185,3.71
61.8128,3.77
62.4682,3.76
63.1237,3.88
63.7961,3.72
64.4906,3.84
65.0404,3.76
65.7294,3.72
66.3459,3.69
66.9237,3.77
67.5404,3.73
68.1738,3.73
68.7239,3.68
69.3737,3.77
