Experiment: 230728_LRDYAceGRDarwin_expt vial 14, Fri Jul 28 15:42:16 2023
0,0
10.0019,3.95
10.0519,4.17
10.9405,4.04
11.9129,3.98
13.0573,4.0
14.4518,4.04
21.9353,3.93
23.5021,3.94
24.6574,4.08
25.9741,3.99
26.9797,3.97
27.9965,4.02
28.663,3.96
29.7019,3.95
30.5852,4.08
31.3963,4.04
32.1574,3.99
32.9407,4.01
33.6573,4.03
34.3686,4.29
35.063,4.13
35.7573,4.06
36.4129,4.12
37.1852,4.12
37.8295,4.14
38.5185,4.06
39.1185,4.16
39.7629,3.93
40.4074,4.05
41.0573,4.06
41.7518,4.05
42.3572,4.07
43.0295,4.14
43.6572,3.94
44.3019,4.0
44.9184,3.93
45.4405,3.99
46.2184,4.07
46.874,3.94
47.5183,3.95
48.1962,3.97
48.9017,4.16
49.4962,4.3
50.2295,4.05
50.8573,3.97
51.5128,3.93
52.1628,4.02
52.8849,4.01
53.5128,4.21
54.1907,4.07
54.7961,4.03
55.4961,4.06
56.1684,4.08
56.8074,3.99
57.4238,3.98
58.0016,4.18
58.7573,4.2
59.4627,3.96
60.0849,3.93
60.7293,4.03
61.4404,3.99
62.0294,4.22
62.7183,4.11
63.4016,3.98
63.9793,3.95
64.6349,3.98
65.357,3.97
65.8848,3.97
66.4516,4.13
67.2959,4.12
68.0183,4.04
68.646,3.94
69.307,4.06
