Experiment: 230728_LRDYAceGRDarwin_expt vial 9, Fri Jul 28 15:42:16 2023
0.0015,0.0
0.007,2.3270306651390626e-05
0.0126,6.981502786995719e-05
0.0183,0.00013964238190045108
0.0237,-0.0002093711701434131
0.0294,0.0001862008012718519
0.0348,2.3270306651390626e-05
0.0405,-4.65365061952383e-05
0.0459,-0.00011633100013153097
0.0516,-0.00011633100013153097
0.057,-4.65365061952383e-05
0.0627,-0.00018611317950512074
0.0681,-2.326893756254833e-05
0.0738,-9.306753731852524e-05
0.0793,-0.00013959309465949588
0.0847,-9.306753731852524e-05
0.0905,-0.00011633100013153097
0.0959,-0.00013959309465949588
0.1016,-0.00013959309465949588
0.107,2.3270306651390626e-05
0.1126,-6.980270606060657e-05
0.1183,-9.306753731852524e-05
0.1238,0.00013964238190045108
0.1292,-0.00011633100013153097
0.1349,-0.00013959309465949588
0.1405,-2.326893756254833e-05
0.146,4.65419825541602e-05
0.1516,-2.326893756254833e-05
0.1571,6.981502786995719e-05
0.1627,-2.326893756254833e-05
0.1682,-0.00018611317950512074
0.1739,-6.980270606060657e-05
0.1793,-0.00011633100013153097
0.185,-2.326893756254833e-05
0.1904,-6.980270606060657e-05
0.196,-0.00011633100013153097
0.2015,-4.65365061952383e-05
0.2072,0.0
0.2127,-0.00013959309465949588
0.2182,-0.00011633100013153097
0.2239,0.00013964238190045108
0.2293,-0.00016285382106406843
0.235,-0.00016285382106406843
0.2404,-0.00018611317950512074
0.2461,-9.306753731852524e-05
0.2515,-4.65365061952383e-05
0.2572,4.65419825541602e-05
0.2626,-9.306753731852524e-05
0.2681,2.3270306651390626e-05
0.2737,-0.00011633100013153097
0.2794,-0.00018611317950512074
0.2848,-0.00016285382106406843
0.2905,-0.0002326277931414822
0.2959,-2.326893756254833e-05
0.3015,2.3270306651390626e-05
0.307,-2.326893756254833e-05
0.3126,-0.00013959309465949588
0.3182,-2.326893756254833e-05
0.3239,0.00011636522738101007
0.3293,0.0
0.335,-6.980270606060657e-05
0.3404,-0.00011633100013153097
0.3461,-0.00032564061193873783
0.3515,-0.00011633100013153097
0.3569,-0.00013959309465949588
0.3626,-0.0002791369368573271
0.3683,-9.306753731852524e-05
0.3737,-4.65365061952383e-05
0.3794,-4.65365061952383e-05
0.3848,-4.65365061952383e-05
0.3904,-0.0002326277931414822
0.3961,0.0
0.4015,-0.0002093711701434131
0.4072,-9.306753731852524e-05
0.4126,-0.00013959309465949588
0.4183,-6.980270606060657e-05
0.4236,-0.00011633100013153097
0.4294,-0.00011633100013153097
0.435,-0.0002558830486592001
0.4404,-0.00018611317950512074
0.4461,-0.00016285382106406843
0.4515,-0.0002558830486592001
0.4572,0.00011636522738101007
