Experiment: 230728_LRDYAceGRDarwin_expt vial 7, Fri Jul 28 15:42:16 2023
0,0
7.1462,3.72
7.2017,3.48
7.2574,1.51
8.0296,3.72
8.6351,3.78
9.1351,3.82
9.6629,3.82
10.185,3.73
10.6961,3.78
11.2572,3.88
11.7962,3.74
12.3795,3.74
13.2407,4.0
14.285,3.75
15.3404,3.73
16.7127,3.99
17.5294,3.75
17.8577,3.72
17.9132,1.66
21.4075,3.73
22.0298,3.7
22.6297,3.71
23.3575,3.9
24.1075,3.69
24.8464,4.09
25.4963,3.71
26.3464,3.82
27.0686,3.81
27.8797,3.74
28.5742,3.9
29.4297,3.69
30.163,3.87
30.9687,3.75
31.8353,3.69
32.5351,3.76
33.263,3.78
33.9519,4.04
34.6797,3.75
35.4686,3.72
36.2186,3.69
36.9685,3.73
37.6796,3.87
38.5185,3.99
39.3074,3.7
40.0574,3.9
40.9129,3.8
41.7518,3.95
42.4295,3.83
43.3906,4.19
44.2017,3.82
44.9573,3.91
45.6684,3.74
46.4239,3.75
47.0518,3.7
47.7627,3.73
48.4572,3.76
49.1684,3.79
49.9906,3.71
50.7572,3.74
51.3573,4.18
52.1294,3.77
52.9017,3.77
53.524,3.72
54.124,3.89
54.7905,3.71
55.2072,3.7
55.9293,4.04
56.7127,3.89
58.1794,3.75
59.0738,3.72
60.0627,4.06
60.9681,3.72
61.6295,3.81
62.2849,3.72
62.896,3.97
63.4461,3.89
64.0515,3.88
64.5627,3.8
65.0571,3.72
65.6793,3.8
66.2459,3.75
66.7292,3.78
67.3128,3.84
67.8459,3.78
68.3681,3.8
68.9738,3.78
69.5071,3.77
69.5625,2.09
