Experiment: 230728_LRDYAceGRDarwin_expt vial 6, Fri Jul 28 15:42:16 2023
0,0
6.4962,4.17
6.5518,4.47
6.6074,2.37
7.4796,3.96
8.335,3.96
9.0572,4.06
9.7184,3.98
10.4741,3.98
11.0961,3.94
11.7739,3.98
12.5295,3.99
13.2461,4.08
14.1071,3.95
14.935,3.94
15.8682,3.94
16.7572,3.94
17.7576,4.09
18.6631,4.1
19.5298,3.98
20.4352,4.02
21.2186,4.01
21.9741,4.03
22.7019,3.96
23.4019,4.01
24.1409,4.22
24.7964,4.12
25.5242,4.08
26.163,3.93
26.8852,4.04
27.5575,4.06
28.2296,4.02
28.8909,4.19
29.6464,4.04
30.3241,4.01
31.0018,3.96
31.6907,4.25
32.463,3.94
33.1632,3.99
33.8407,3.94
34.5685,4.39
35.3241,4.16
36.1351,4.12
36.8575,4.03
37.5409,4.27
38.363,3.96
39.0684,3.94
39.774,4.17
40.5628,4.14
41.3406,4.0
42.0517,4.19
42.8629,4.08
43.5684,3.94
44.2906,3.93
44.9463,3.94
45.7407,4.02
46.4795,4.02
47.2517,4.29
48.0907,3.97
48.8239,3.99
49.5128,4.09
50.2406,3.95
51.0018,4.02
51.7405,4.01
52.5571,3.93
53.2683,3.96
54.0018,4.11
54.7517,3.99
55.485,4.07
56.2571,4.0
57.0072,4.11
57.7349,4.01
58.474,4.05
59.2016,4.08
59.8905,3.94
60.5793,3.93
61.3627,3.97
62.046,4.05
62.8405,3.99
63.5404,4.17
64.1571,3.99
64.8183,4.05
65.546,4.34
66.3182,3.99
67.1737,4.03
67.9405,4.01
68.6848,4.12
69.396,3.94
