Experiment: 230728_LRDYAceGRDarwin_expt vial 13, Fri Jul 28 15:42:16 2023
0,0
9.2129,3.7
9.2685,3.18
9.324,1.95
10.2241,3.68
11.0683,3.84
11.9405,3.77
12.7184,3.75
13.6739,3.95
14.7462,3.82
15.9627,3.72
17.596,3.7
19.3077,3.84
20.8687,3.76
22.302,3.9
23.4298,3.85
24.4243,3.99
25.5242,3.81
26.4296,3.74
27.3242,3.7
28.2185,3.91
29.152,3.86
30.0851,3.92
31.0242,3.75
31.8853,3.86
32.8241,3.71
33.6462,3.71
34.4796,3.75
35.1407,3.73
35.9685,3.85
36.8851,3.76
37.6074,3.83
38.3407,3.8
39.1576,3.78
39.8685,3.76
40.624,3.78
41.3517,3.8
42.0129,3.7
42.724,3.79
43.5574,3.74
44.2963,3.72
45.0074,3.75
45.6963,3.94
46.3072,3.79
46.9796,3.88
47.7851,3.73
48.4183,3.78
49.063,3.83
49.9461,3.7
50.5406,3.74
51.4183,3.74
52.0516,3.72
52.9017,3.75
53.5016,3.93
54.285,3.8
55.0683,4.09
55.746,4.0
56.4904,3.77
57.1849,3.7
58.0127,3.69
58.735,3.75
59.5127,3.82
60.2905,3.8
60.9906,3.71
61.7127,3.82
62.4073,3.74
63.2128,3.71
63.8016,3.78
64.5627,3.9
65.1848,3.68
65.8459,3.91
66.5515,3.68
67.1071,3.73
67.7627,3.76
68.3681,3.73
69.0127,3.74
69.6405,3.89
