Experiment: 230728_LRDYAceGRDarwin_expt vial 8, Fri Jul 28 15:42:16 2023
0,0
8.1796,4.57
8.235,3.91
8.7407,4.75
9.5574,4.55
10.2017,4.73
10.9796,4.95
11.6961,4.56
12.2961,4.63
12.9184,4.6
13.585,5.22
14.2573,4.56
14.7684,4.7
15.3683,4.76
15.9238,4.87
16.3907,4.62
16.9627,5.04
17.5573,4.63
17.9632,4.98
18.563,5.12
19.1186,4.72
19.5966,4.92
20.2853,4.94
20.8353,4.63
21.3687,4.53
21.8686,4.76
22.4074,4.54
22.8799,4.72
23.4852,4.87
24.0131,4.89
24.5353,4.57
25.0797,4.71
25.602,4.58
26.1576,4.56
26.6687,4.84
27.1742,4.8
27.7797,4.77
28.3186,4.78
28.913,4.84
29.4241,4.53
30.0019,4.73
30.5352,4.64
31.0797,4.65
31.513,4.81
32.1631,4.74
32.7074,5.25
33.2964,4.74
33.8741,4.54
34.3463,4.86
34.9074,5.48
35.5242,5.0
36.1018,4.69
36.6741,4.59
37.2407,5.03
37.8518,4.54
38.3906,4.64
38.8907,5.34
39.535,4.71
40.1129,4.77
40.6851,5.79
41.3629,4.67
41.7796,4.79
42.3683,5.0
42.8741,4.58
43.4907,4.85
44.0461,4.68
44.6574,4.7
45.1295,4.9
45.7907,4.59
46.274,4.88
46.9463,5.02
47.5517,4.68
48.0461,4.75
48.5906,4.89
49.085,4.79
49.7072,4.6
50.3018,4.6
50.8738,4.65
51.4406,5.15
52.0183,5.13
52.6516,4.57
53.2572,4.6
53.7796,4.76
54.3739,4.67
54.9128,4.63
55.3961,4.55
55.9961,4.93
56.6128,4.65
57.2515,4.86
57.7571,4.54
58.3516,4.62
58.9071,4.92
59.5517,5.13
60.2294,4.79
60.7405,4.73
61.3126,4.53
61.9237,4.58
62.4682,4.61
63.0849,6.1
63.7682,5.15
64.3071,4.61
65.0404,4.67
65.5682,4.65
66.1349,4.76
66.8016,4.57
67.324,4.6
67.8459,4.61
68.3904,4.97
69.0682,4.84
69.596,4.85
