Experiment: 230728_LRDYAceGRDarwin_expt vial 3, Fri Jul 28 15:42:16 2023
0,0
7.4073,3.79
7.4628,3.78
8.2185,3.83
9.1017,3.7
9.8741,3.73
10.6573,3.84
11.3961,3.79
12.0573,3.79
12.6794,3.75
13.2739,3.71
13.8739,3.72
14.3961,3.71
14.9017,4.03
15.4517,3.86
16.0072,3.85
16.5129,3.69
17.0518,3.86
17.5461,3.75
17.8577,3.88
18.5354,3.73
19.0522,3.78
19.5131,3.73
20.0298,3.68
20.5408,3.82
21.0242,3.72
21.5131,3.75
21.9908,3.73
22.5243,3.77
22.9908,3.69
23.4464,3.69
23.9519,3.84
24.4854,3.81
24.9577,3.88
25.502,3.76
25.9352,3.72
26.4741,3.91
26.9186,3.79
27.4296,3.69
27.9132,3.73
28.3852,3.8
28.8797,3.8
29.3852,3.69
29.8518,3.75
30.363,3.77
30.8297,3.89
31.3241,3.7
31.813,3.72
32.2853,3.74
32.7463,3.91
33.2408,3.75
33.7407,3.75
34.2241,3.7
34.6797,3.93
35.2574,3.76
35.7462,3.71
36.2463,3.79
36.724,3.68
37.2351,3.85
37.724,3.94
38.2684,3.7
38.7518,3.82
39.2296,3.8
39.7575,3.87
40.2407,3.85
40.7573,3.81
41.2629,3.76
41.7352,3.68
42.2851,3.71
42.774,3.9
43.2794,3.86
43.7628,3.7
44.2631,3.73
44.7797,3.74
45.2906,3.72
45.7629,3.72
46.3018,3.72
46.7629,3.74
47.3073,3.69
47.8073,3.75
48.3239,3.72
48.813,3.82
49.3406,3.74
49.8017,3.76
50.3629,3.7
50.7907,3.71
51.3295,3.83
51.8516,3.68
52.3461,3.74
52.8351,3.73
53.3738,3.79
53.874,3.86
54.4294,3.91
54.9629,3.75
55.4461,3.81
55.9516,3.7
56.4461,3.71
56.9517,3.79
57.5071,3.72
58.0351,3.68
58.5129,3.83
59.0294,3.78
59.5683,3.71
60.0849,3.96
60.6184,3.9
61.1239,3.9
61.7071,3.72
62.2072,3.77
62.7517,3.71
63.246,3.69
63.7517,3.71
64.2572,3.71
64.7572,3.71
65.3071,3.84
65.8293,3.7
66.296,3.73
66.8293,3.72
67.3182,3.71
67.8127,3.79
68.3292,3.78
68.8404,3.76
69.3405,3.69
69.7962,3.74
