Experiment: 230728_LRDYAceGRDarwin_expt vial 9, Fri Jul 28 15:42:16 2023
0,0
11.8683,3.95
11.9184,3.64
11.9739,1.66
12.8738,3.93
13.7683,3.97
14.585,3.93
15.3627,3.98
16.1461,4.0
16.8684,4.16
17.5738,3.94
18.1353,4.02
18.8354,3.97
19.5131,4.13
20.2021,3.98
20.8242,4.1
21.4742,4.09
22.0964,3.96
22.7686,4.16
23.3687,3.94
23.8853,4.0
24.5019,3.93
25.0576,4.03
25.7076,3.94
26.2852,4.23
26.8907,3.96
27.5408,4.02
28.0963,4.26
28.7129,3.95
29.3075,3.96
29.8574,3.98
30.4574,4.08
31.0298,3.94
31.624,3.95
32.2074,4.15
32.8464,4.12
33.413,3.94
33.9797,3.98
34.5574,4.23
35.1797,4.01
35.7742,4.02
36.3574,4.27
36.9796,4.06
37.524,4.0
38.1129,3.93
38.6684,4.05
39.274,3.98
39.8574,4.14
40.4074,3.99
40.9407,4.29
41.6628,3.97
42.1686,3.96
42.7906,4.15
43.3906,4.06
43.9629,4.03
44.5407,3.99
45.113,3.93
45.7518,4.21
46.4016,4.13
47.0683,4.0
47.6072,3.96
48.1906,4.12
48.8239,3.99
49.4184,4.02
50.0127,4.01
50.6294,4.11
51.2072,3.99
51.835,3.93
52.3908,4.11
52.9851,3.99
53.535,3.93
54.1684,3.94
54.7349,4.0
55.3016,3.99
55.8852,4.03
56.5016,4.0
57.0294,4.14
57.7295,3.93
58.2905,3.93
58.9071,4.12
59.446,4.03
60.0627,3.96
60.6294,4.03
61.2461,4.04
61.8128,3.97
62.4571,3.98
63.0183,3.96
63.607,3.96
64.2127,4.0
64.8238,3.95
65.4961,4.07
66.1571,3.93
66.7571,4.02
67.3792,4.12
67.8905,3.93
68.6237,4.18
69.2404,3.96
69.8738,4.37
