Experiment: 230728_LRDYAceGRDarwin_expt vial 0, Fri Jul 28 15:42:16 2023
0,0
10.1018,3.47
10.1572,3.41
10.2073,1.84
11.2184,3.5
12.1349,3.5
12.9573,3.52
13.7128,3.52
14.5517,3.55
15.3074,3.62
16.0128,3.49
16.6572,3.48
17.3462,3.5
17.9242,3.57
18.563,3.56
19.2464,3.65
19.9133,3.57
20.5408,3.53
21.1075,3.48
21.7687,3.54
22.3631,3.47
22.9577,3.48
23.5798,3.81
24.3131,3.5
24.8464,3.47
25.4742,3.54
26.0075,3.51
26.613,3.47
27.2074,3.63
27.7354,3.48
28.352,3.55
28.9352,3.65
29.5241,3.56
30.1019,3.66
30.6796,3.63
31.263,3.59
31.813,3.58
32.4352,3.69
33.063,3.54
33.5629,3.53
34.1964,3.59
34.7297,3.67
35.3352,3.53
35.9298,3.49
36.4907,3.55
37.0518,3.56
37.6407,3.47
38.1851,3.57
38.7573,3.58
39.3295,3.48
39.924,3.48
40.4462,3.47
40.985,3.47
41.6186,3.59
42.174,3.5
42.774,3.61
43.3462,3.47
43.8629,3.51
44.4572,3.47
44.9685,3.61
45.535,3.55
46.0629,3.55
46.6794,3.47
47.2128,3.51
47.774,3.53
48.3462,3.6
48.9683,3.52
49.4906,3.5
50.1018,3.62
50.674,3.47
51.1739,3.53
51.7905,3.6
52.3684,3.5
52.9295,3.47
53.5016,3.49
54.035,3.59
54.6684,3.62
55.2294,3.47
55.7628,3.51
56.3295,3.48
56.9239,3.54
57.5071,3.51
58.0016,3.51
58.5571,3.47
59.1072,3.51
59.6793,3.56
60.2739,3.48
60.8293,3.58
61.3685,3.51
61.9849,3.74
62.546,3.55
63.1739,3.52
63.7183,3.51
64.3126,3.52
64.8406,3.53
65.3794,3.5
65.9237,3.51
66.4461,3.52
67.0294,3.6
67.6126,3.59
68.1793,3.51
68.7071,3.48
69.307,3.48
69.857,3.56
