Experiment: 230728_LRDYAceGRDarwin_expt vial 11, Fri Jul 28 15:42:16 2023
0.0015,0.0
0.007,-2.881607010598447e-05
0.0126,-8.644665721586897e-05
0.0183,-5.763162242620329e-05
0.0237,-0.00020170162616884452
0.0294,5.7633694589442896e-05
0.0348,0.0
0.0405,-0.00025932601209171374
0.0459,-0.00040337795580700636
0.0516,-0.0001152611747299026
0.057,-0.00017288865895139643
0.0627,-0.00014407517522341956
0.0681,-0.00014407517522341956
0.0738,0.0
0.0793,5.7633694589442896e-05
0.0847,-0.00020170162616884452
0.0905,-0.0001152611747299026
0.0959,-0.00020170162616884452
0.1016,-0.00017288865895139643
0.107,-0.0001152611747299026
0.1126,0.00011526946338340227
0.1183,-2.881607010598447e-05
0.1238,-8.644665721586897e-05
0.1292,2.8816588146789168e-05
0.1349,-0.00023051407713057387
0.1405,-0.00014407517522341956
0.146,0.00014408812624495254
0.1516,-0.00014407517522341956
0.1571,-0.0001152611747299026
0.1627,0.00011526946338340227
0.1682,-0.00020170162616884452
0.1739,-0.00025932601209171374
0.1793,0.00014408812624495254
0.185,0.00020172701017364542
0.1904,-8.644665721586897e-05
0.196,0.0
0.2015,0.00011526946338340227
0.2072,0.00025936797341152146
0.2127,-5.763162242620329e-05
0.2182,-0.0001152611747299026
0.2239,8.645131958325697e-05
0.2293,0.00017290730842332847
0.235,-5.763162242620329e-05
0.2404,-0.0001152611747299026
0.2461,8.645131958325697e-05
0.2515,2.8816588146789168e-05
0.2572,0.00011526946338340227
0.2626,-0.0001152611747299026
0.2681,0.00020172701017364542
0.2737,2.8816588146789168e-05
0.2794,0.00011526946338340227
0.2848,0.00043230335940908776
0.2905,5.7633694589442896e-05
0.2959,0.0004899526603145896
0.3015,0.0003458333214414952
0.307,2.8816588146789168e-05
0.3126,0.00023054723175126163
0.3182,0.0003746561459859535
0.3239,0.00011526946338340227
0.3293,0.00043230335940908776
0.335,2.8816588146789168e-05
0.3404,0.00011526946338340227
0.3461,-5.763162242620329e-05
0.3515,0.00017290730842332847
0.3569,0.00014408812624495254
0.3626,0.00025936797341152146
0.3683,0.00040347949188999227
0.3737,0.00011526946338340227
0.3794,0.00025936797341152146
0.3848,0.0005476040507469068
0.3904,0.00020172701017364542
0.3961,0.00040347949188999227
0.4015,0.00020172701017364542
0.4072,0.0003746561459859535
0.4126,0.00011526946338340227
0.4183,0.00017290730842332847
0.4236,0.00028818923540974845
0.4294,0.0003746561459859535
0.435,0.00020172701017364542
0.4404,0.0006052575327507373
0.4461,0.0003170110180012384
0.4515,0.0006052575327507373
0.4572,0.0003458333214414952
0.4626,0.0004611277487987994
0.4683,0.0006052575327507373
0.4738,0.0005476040507469068
0.4794,0.000691741681927184
0.4848,0.00043230335940908776
0.4905,0.0006340850587311583
0.4959,0.0004611277487987994
0.5017,0.0007494004018087294
0.507,0.0003746561459859535
0.5127,0.000691741681927184
0.5181,0.000691741681927184
0.5238,0.0006340850587311583
0.5292,0.0009223891620307248
0.5349,0.000691741681927184
0.5403,0.0008358924173924656
0.546,0.0007494004018087294
0.5517,0.0008935563879409678
0.5571,0.0008358924173924656
0.5627,0.0008935563879409678
0.5681,0.000691741681927184
0.5739,0.0008070612204218938
0.5792,0.0010665609308739485
0.5849,0.0009800562891210882
0.5904,0.0006629131083713338
0.596,0.0005764305301745945
0.6017,0.0004611277487987994
0.607,0.0007782305486459043
0.6128,0.0006629131083713338
0.6182,0.0005187780942121287
0.6237,0.0006629131083713338
0.6292,0.0008070612204218938
0.6348,0.0008070612204218938
0.6405,0.0009223891620307248
0.6459,0.0006340850587311583
0.6515,0.0009512224623387175
0.657,0.0006629131083713338
0.6625,0.001153070320113532
0.6683,0.0007782305486459043
0.6737,0.0007494004018087294
0.6793,0.0008358924173924656
0.685,0.0005476040507469068
0.6904,0.0008935563879409678
0.696,0.0009800562891210882
0.7017,0.0005187780942121287
0.7072,0.0009800562891210882
0.7126,0.0009223891620307248
0.7183,0.0009223891620307248
0.7236,0.0008070612204218938
0.7293,0.000691741681927184
0.7348,0.00043230335940908776
0.7404,0.0010953968661138389
